_ga;GA1.2.1187691664.1615225723;.guru99.com;/;Wed Mar 08 22:48:45 PKT 2023;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Mon Mar 08 22:49:43 PKT 2021;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.904476670.1615225723;.guru99.com;/;Tue Mar 09 22:48:45 PKT 2021;false
